number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
56,481.31801987841516,2025-04-03 19:49:28.224599,2025-04-03 19:49:52.167524,0 days 00:00:23.942925,0.0001,16,0.39900189614603093,24,7,4,0.0005,2,12,0.0001,481.31801987841516,0.8635301814916954,99.0,962.1383666992188,90.0,102.0,0.8306358212830041,1063.1705322265625,19661,0.8848510875960771,1061.4632568359375,COMPLETE
57,,2025-04-03 19:49:52.168800,2025-04-03 19:49:52.231109,0 days 00:00:00.062309,0.0001,8,0.4225372704068938,96,7,16,0.0005,2,12,0.0001,,,,,,,,,247721,,,PRUNED
58,518.6705387550132,2025-04-03 19:49:52.231610,2025-04-03 19:51:06.372766,0 days 00:01:14.141156,0.0,16,0.2859294431101441,32,5,4,0.0005,5,12,0.0001,518.6705387550132,0.8396840527769184,83.0,1036.795654296875,83.0,101.0,0.820014893251235,1091.4656982421875,44942,0.8830669397134498,1081.1591796875,COMPLETE
59,,2025-04-03 19:51:06.374463,2025-04-03 19:51:06.453239,0 days 00:00:00.078776,0.0001,4,0.37656377558142423,48,7,4,0.0001,2,12,0.0001,,,,,,,,,58765,,,PRUNED
60,486.4949916116966,2025-04-03 19:51:06.453790,2025-04-03 19:51:41.674692,0 days 00:00:35.220902,0.0001,16,0.3848065313873091,24,7,4,0.0005,3,8,0.0,486.4949916116966,0.8603058783050448,95.0,972.4817504882812,62.0,101.0,0.8500469361079146,1002.6671142578125,23766,0.8834622106499839,1090.291748046875,COMPLETE
61,477.1432987728857,2025-04-03 19:51:41.678141,2025-04-03 19:52:04.402176,0 days 00:00:22.724035,0.0001,16,0.416203809833532,24,7,4,0.0005,2,12,0.0,477.1432987728857,0.8671910681582011,65.0,953.7908325195312,65.0,102.0,0.8324698571597522,1056.9647216796875,19661,0.8896084714398228,1045.8184814453125,COMPLETE
62,479.18605447777327,2025-04-03 19:52:04.403472,2025-04-03 19:52:26.226998,0 days 00:00:21.823526,0.0001,16,0.4405299854344753,24,7,4,0.0005,2,12,0.0,479.18605447777327,0.8651428389523347,66.0,957.8750610351562,70.0,102.0,0.8465555244996144,1011.3989868164062,19661,0.8857748387096034,1063.776123046875,COMPLETE
63,478.0193792851862,2025-04-03 19:52:26.228762,2025-04-03 19:52:46.626826,0 days 00:00:20.398064,0.0001,16,0.42126807177532943,24,7,4,0.0005,2,12,0.0,478.0193792851862,0.8663316537033507,66.0,955.5422973632812,65.0,102.0,0.8346156556255302,1049.9503173828125,19661,0.8918869334228844,1045.3779296875,COMPLETE
64,475.7615912971779,2025-04-03 19:52:46.628286,2025-04-03 19:53:08.160283,0 days 00:00:21.531997,0.0001,16,0.3315449677273316,24,7,4,0.0005,2,12,0.0,475.7615912971779,0.8657006584894388,57.0,951.0266723632812,57.0,101.0,0.8510172486695418,997.0713500976562,19661,0.895115036320366,1073.330810546875,COMPLETE
65,,2025-04-03 19:53:08.161616,2025-04-03 19:53:08.260369,0 days 00:00:00.098753,0.0001,16,0.3252353490910734,64,7,6,0.0005,2,24,0.0,,,,,,,,,110007,,,PRUNED
66,485.8033968268348,2025-04-03 19:53:08.260865,2025-04-03 19:53:30.192156,0 days 00:00:21.931291,0.0001,8,0.3113403983087561,24,7,16,0.0005,2,32,0.001,485.8033968268348,0.8602444007067092,57.0,971.0799560546875,46.0,102.0,0.8565810633545508,990.7911376953125,36905,0.8877488667560286,1061.3426513671875,COMPLETE
67,508.4748124708484,2025-04-03 19:53:30.193447,2025-04-03 19:53:50.632645,0 days 00:00:20.439198,0.0001,16,0.33530324485242413,24,7,12,0.0005,2,12,1e-05,508.4748124708484,0.8472216115273641,78.0,1016.423095703125,57.0,101.0,0.8439187417593946,1024.7386474609375,31157,0.8796904048721277,1091.5478515625,COMPLETE
68,,2025-04-03 19:53:50.633979,2025-04-03 19:53:50.703049,0 days 00:00:00.069070,0.0001,4,0.2888960147230371,96,9,4,0.0005,2,16,0.0,,,,,,,,,252879,,,PRUNED
69,,2025-04-03 19:53:50.703546,2025-04-03 19:53:50.766122,0 days 00:00:00.062576,0.0,16,0.4005911621993137,48,7,4,5e-05,3,12,0.0001,,,,,,,,,79550,,,PRUNED
70,487.36008726139534,2025-04-03 19:53:50.766601,2025-04-03 19:54:13.572343,0 days 00:00:22.805742,1e-06,16,0.46587970284605423,24,5,4,0.0005,2,12,0.0,487.36008726139534,0.8582194717701069,83.0,974.225341796875,83.0,102.0,0.8445094171396657,1034.5137939453125,17355,0.8895700467779287,1078.9915771484375,COMPLETE
71,480.24052081305757,2025-04-03 19:54:13.573643,2025-04-03 19:54:36.169993,0 days 00:00:22.596350,0.0001,16,0.3529833718005566,24,7,4,0.0005,2,12,0.0,480.24052081305757,0.8637623737999036,80.0,959.9834594726562,57.0,101.0,0.835761009239479,1047.6517333984375,19661,0.8906523441020197,1102.760986328125,COMPLETE
