model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,ablation
MSTAGAT-Net,20260114_220334,region785,20,3,338.8841247558594,225.56548,648.546740798225,539.46075,0.90961206,0.8631051,4.5605244e-08,0.7928933501243591,0.6674597,0.8140051960945129,0.73198426,491.7351379394531,none
MSTAGAT-Net,20260114_221254,region785,20,5,416.3612365722656,267.6754,807.7629602798088,671.04254,0.85010755,0.7606633,6.542915e-08,0.6787232160568237,0.4774002,0.7015112638473511,0.5597176,587.6043090820312,no_agam
MSTAGAT-Net,20260114_221330,region785,20,5,451.1134948730469,296.17297,910.5546043483608,747.8678,0.8578597,0.7751921,6.613986e-08,0.5917525887489319,0.39565372,0.644517183303833,0.52861357,653.0676879882812,no_mtfm
MSTAGAT-Net,20260114_221624,region785,20,5,500.26568603515625,350.72925,917.7516684811856,750.90173,0.773944,0.67548203,7.390047e-08,0.5852735042572021,0.38432154,0.5987797975540161,0.44717878,699.2247314453125,no_pprm
MSTAGAT-Net,20260114_221026,region785,20,5,406.4371948242188,224.41693,779.1910067499496,660.18,0.856475,0.79355913,7.7615134e-08,0.7010495066642761,0.4294831,0.7084850668907166,0.5812692,564.2730102539062,none
MSTAGAT-Net,20260114_222028,region785,20,10,555.5735473632812,393.21085,1000.3315387910152,815.9469,0.7634623,0.6724248,7.158782e-08,0.5072809457778931,0.28558603,0.5725502967834473,0.43251437,797.2501831054688,no_agam
MSTAGAT-Net,20260114_222113,region785,20,10,585.7775268554688,395.9068,1055.2428038134162,866.382,0.7811489,0.689012,9.4007405e-08,0.4517025351524353,0.18068776,0.5396866202354431,0.42391133,844.7733154296875,no_mtfm
MSTAGAT-Net,20260114_222343,region785,20,10,531.5111083984375,345.83023,950.125814037278,792.91003,0.81188047,0.68841726,7.382639e-08,0.5554980039596558,0.27388412,0.6193000078201294,0.4469388,753.81298828125,no_pprm
MSTAGAT-Net,20260114_221821,region785,20,10,680.3734741210938,461.50424,1239.8694487727328,1016.5036,0.680205,0.45756593,8.663305e-08,0.2430566549301147,-0.07779817,0.3861072659492492,0.19560835,989.6841430664062,none
MSTAGAT-Net,20260114_222754,region785,20,15,792.1666259765625,528.49524,1357.5718213044936,1133.4539,0.47307032,0.23971558,1.6024133e-07,0.0925199389457702,-0.53358763,0.1129220724105835,-0.4038577,974.0125122070312,no_agam
MSTAGAT-Net,20260114_222821,region785,20,15,868.4852905273438,500.84106,1392.382176343837,1206.4337,0.37128398,-0.021533905,2.249908e-07,0.0453847646713256,-1.0893152,0.0660303831100463,-0.76521444,1032.602294921875,no_mtfm
MSTAGAT-Net,20260114_223030,region785,20,15,915.2385864257812,598.0379,1433.597746929033,1218.2137,0.4139617,0.23451555,1.7015712e-07,-0.0119663476943969,-0.9076214,0.074481725692749,-0.63953084,1137.22802734375,no_pprm
MSTAGAT-Net,20260114_222541,region785,20,15,762.738525390625,500.0723,1297.8509640941058,1095.4662,0.48811406,0.23903134,1.5674402e-07,0.1706055998802185,-0.50758654,0.2211179137229919,-0.30118194,963.134765625,none
