wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95,model,dataset,horizon,seed,ablation,variant,split,n_test
211.34853664565696,81.17404153194556,94.2569128808999,22.43338946712476,0.5248407643312102,0.9509554140127389,0.9847133757961783,MSAGAT-Net,region785,3,42,none,with_adj.loggrowth.quant,test,157
211.52625163137466,94.62856223734948,72.55772086544665,31.289905255522893,0.5719745222929936,0.9636942675159236,0.986624203821656,MSAGAT-Net,region785,3,45,none,with_adj.loggrowth.quant,test,157
261.1494751785666,100.19143863405942,108.9372887221838,35.25896380840989,0.49936305732484076,0.9146496815286624,0.967515923566879,MSAGAT-Net,region785,5,1000,none,with_adj.loggrowth.quant,test,157
281.65975443195305,117.6013006277299,129.56338202738758,17.30660086639434,0.5738853503184713,0.9515923566878981,0.9789808917197452,MSAGAT-Net,region785,5,123,none,with_adj.loggrowth.quant,test,157
297.5407947018119,155.04244075233134,71.00181763500298,52.996570962738446,0.5547770700636943,0.9617834394904459,0.9847133757961783,MSAGAT-Net,region785,5,30,none,with_adj.loggrowth.quant,test,157
273.97920682794205,134.45379743681823,99.78980653161192,23.45481782222316,0.5993630573248407,0.9490445859872612,0.9802547770700637,MSAGAT-Net,region785,5,42,none,with_adj.loggrowth.quant,test,157
249.122734646088,106.43599933037426,86.97656512652628,39.79088535979658,0.5165605095541401,0.9318471337579618,0.9738853503184713,MSAGAT-Net,region785,5,45,none,with_adj.loggrowth.quant,test,157
56.63408205764379,27.483932419958744,18.19839821950249,7.190480132853621,0.5150226757369615,0.9084467120181405,0.9560657596371882,MSAGAT-Net,state360,10,1000,none,with_adj.loggrowth.quant,test,72
54.537256785197485,26.828795645057813,17.77309936443242,6.386963496890562,0.49943310657596374,0.9152494331065759,0.9606009070294784,MSAGAT-Net,state360,10,123,none,with_adj.loggrowth.quant,test,72
58.3276458596362,28.022592011553805,19.888750155515588,6.652943447141162,0.4971655328798186,0.9135487528344671,0.9645691609977324,MSAGAT-Net,state360,10,30,none,with_adj.loggrowth.quant,test,72
58.10492339813229,29.387217365667674,18.348657375651683,6.6930844793288085,0.5011337868480725,0.9155328798185941,0.9665532879818595,MSAGAT-Net,state360,10,42,none,with_adj.loggrowth.quant,test,72
60.22973741892229,28.354233705444027,20.85133427103414,7.204021142203815,0.4812925170068027,0.9005102040816326,0.951530612244898,MSAGAT-Net,state360,10,45,none,with_adj.loggrowth.quant,test,72
64.50699123222356,28.98566071317098,23.5738560116398,7.733789983545137,0.5022675736961452,0.8945578231292517,0.951530612244898,MSAGAT-Net,state360,15,1000,none,with_adj.loggrowth.quant,test,72
