dataset,horizon,seed,method,wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95
japan,3,45,raw,444.0072744564507,164.82196941969494,106.9784069063217,143.42933642010843,0.3951367781155015,0.8498480243161094,0.9300911854103343
japan,3,45,identity,443.9525992592364,165.1197703621641,106.8403713381163,143.21571582091664,0.4583586626139818,0.8702127659574468,0.9416413373860182
japan,3,45,adjacency,443.95345247766954,165.0735169894493,106.85487568874063,143.24835019072563,0.45562310030395137,0.8702127659574468,0.9419452887537993
japan,3,45,uniform,443.9570383604161,165.08577190629344,106.85516015549577,143.23858292440735,0.4562310030395137,0.8720364741641338,0.9428571428571428
japan,3,45,attention,443.9559081582036,165.08293783230357,106.85576303615207,143.23968950235277,0.4574468085106383,0.8723404255319149,0.9437689969604863
japan,5,1000,raw,329.2181465357713,172.7408184915755,114.64937014671774,20.236855178555487,0.48936170212765956,0.9088145896656535,0.9610942249240122
japan,5,1000,identity,329.24752707619797,172.40736863214656,114.83829284344604,20.41191279049892,0.49544072948328266,0.9115501519756839,0.9613981762917934
japan,5,1000,adjacency,329.24940700800323,172.53589518287475,114.77558089180889,20.347460582082395,0.49361702127659574,0.9155015197568389,0.9671732522796352
japan,5,1000,uniform,329.234998666253,172.47977977522407,114.8089643264551,20.35504323938366,0.4911854103343465,0.9142857142857143,0.9659574468085106
japan,5,123,raw,338.82280806387973,218.41537955487254,67.91605668646571,31.153606929014362,0.5042553191489362,0.9072948328267477,0.9598784194528875
japan,5,123,identity,338.8901339583367,217.7853694671211,68.08730121786219,31.680184433019758,0.4993920972644377,0.9075987841945289,0.9626139817629179
japan,5,123,adjacency,338.88404231716066,217.985400902484,67.99716388709136,31.563684285109243,0.4981762917933131,0.9115501519756839,0.9650455927051672
japan,5,123,uniform,338.86596383338406,217.77159012324307,68.13966179473785,31.6176137801724,0.4927051671732523,0.9103343465045592,0.9650455927051672
japan,5,30,raw,369.7340983573718,204.34384700769374,101.56568623728113,39.60202397302008,0.5051671732522797,0.9246200607902736,0.9689969604863222
japan,5,30,identity,369.74398064887276,203.5977046480292,101.76741864575222,40.157055998804765,0.4878419452887538,0.9191489361702128,0.9656534954407295
japan,5,30,adjacency,369.73936212978134,203.81851779002255,101.69652115669626,40.00251940090717,0.48145896656534953,0.9185410334346504,0.9693009118541034
japan,5,30,uniform,369.7473866361414,203.7672672121717,101.73886800463266,40.01873221348878,0.4817629179331307,0.9206686930091186,0.9705167173252279
japan,5,30,attention,369.7481281006512,203.76122352859778,101.74066680687902,40.023855256353734,0.48206686930091186,0.9203647416413374,0.9705167173252279
japan,5,42,raw,329.8203118366114,200.7026784703684,79.15540524054127,28.796712382420754,0.5252279635258359,0.9234042553191489,0.9668693009118541
japan,5,42,identity,329.8280832540574,199.9667513727013,79.36010164996348,29.346600369911176,0.5091185410334347,0.9243161094224924,0.9683890577507599
japan,5,42,adjacency,329.8085542074382,200.2398743854641,79.24950063760457,29.15871614834048,0.5054711246200608,0.9240121580547113,0.9693009118541034
japan,5,42,uniform,329.8264511069433,200.1007663239904,79.36550168805825,29.19918535509213,0.503951367781155,0.9237082066869301,0.9699088145896656
japan,5,42,attention,329.82682362672426,200.09448419953995,79.36420989151877,29.208573438539297,0.5030395136778115,0.9234042553191489,0.9699088145896656
japan,5,45,raw,382.10210433072893,244.5386849223327,62.856944133209176,52.323241127507764,0.4987841945288754,0.9127659574468086,0.9586626139817629
japan,5,45,identity,382.0996897573723,244.15502795775117,62.81173639090794,52.7516300589181,0.5036474164133738,0.9203647416413374,0.9659574468085106
japan,5,45,adjacency,382.0866228119363,244.35850014716155,62.752686911683526,52.59444296009335,0.49544072948328266,0.9179331306990881,0.9665653495440729
japan,5,45,uniform,382.09772884620577,244.20388509507217,62.88228461603452,52.62844625402981,0.4966565349544073,0.9194528875379939,0.9662613981762918
japan,5,45,attention,382.0996028853777,244.2081991245455,62.88341838726677,52.624833720211186,0.4987841945288754,0.9197568389057751,0.9662613981762918
ltla_timeseries,14,1000,raw,50.12244188408959,11.872115537435228,21.637674087826255,13.430982955204344,0.2882424475166411,0.7597606246799795,0.9370999743983615
ltla_timeseries,14,1000,identity,48.423010324168054,20.301502459121263,16.124158952500547,8.818041721910113,0.5532514080901177,0.9433563748079877,0.9783986175115207
ltla_timeseries,14,1000,adjacency,48.38756523518776,20.01136055432601,16.29278399493731,8.90314370017235,0.5511232718894009,0.9443004352278546,0.9799027137736815
ltla_timeseries,14,1000,uniform,48.400737870563496,20.225441802135357,16.16133954374191,8.834400691305982,0.5528353814644137,0.9439004096262161,0.9788306451612904
ltla_timeseries,14,123,raw,46.62867370620446,13.91801093933734,21.663770041845478,8.049691650482464,0.35144649257552485,0.8196524577572964,0.8691436251920123
ltla_timeseries,14,123,identity,46.15964353690903,19.38376444238262,17.59035789147963,6.1889607902908095,0.544578853046595,0.9146345366103431,0.9602054531490015
ltla_timeseries,14,123,adjacency,46.10216190452933,19.150694613956247,17.743172250286182,6.210787391819309,0.5434907834101382,0.9152585765488991,0.9617095494111623
ltla_timeseries,14,123,uniform,46.13601437803887,19.31771424418592,17.630902368515375,6.190747619370878,0.5442108294930875,0.9147945468509985,0.9604134664618535
ltla_timeseries,14,30,raw,55.552837984034305,11.919176304591284,16.73488916088541,23.343163471064127,0.22204621095750127,0.7311347926267281,0.9198508704557091
ltla_timeseries,14,30,identity,53.50232828851937,21.750991114083813,12.08984926548407,16.108594888382235,0.5345942140296979,0.921979006656426,0.9750064004096262
ltla_timeseries,14,30,adjacency,53.44298867848985,21.34866408633517,12.238873948641265,16.301930356798536,0.5333941372247823,0.92357910906298,0.9761424731182796
ltla_timeseries,14,30,uniform,53.482044783451364,21.65077749296252,12.125234700729928,16.152765902843413,0.5340181771633384,0.9226670506912442,0.9753904249871992
ltla_timeseries,14,42,raw,41.02214921752172,9.766733241357937,24.915991212465663,3.6723688615840935,0.33442140296979006,0.8655593958013312,0.9473406298003072
ltla_timeseries,14,42,identity,40.51741547047964,15.866918191158828,19.449596480879947,2.5355823666501545,0.5377464157706093,0.9271153353814644,0.9723982334869432
ltla_timeseries,14,42,adjacency,40.44888921262416,15.543272477192742,19.713288066599002,2.525865284692477,0.5360343061955966,0.9286514336917563,0.9739663338453661
ltla_timeseries,14,42,uniform,40.48503493348898,15.777943125543343,19.516997549562355,2.524280805518994,0.5371543778801844,0.9280273937532002,0.9730222734254992
ltla_timeseries,14,45,raw,46.980845834311545,13.013440329537586,20.8684888478395,10.092310299933116,0.318868407578085,0.809507808499744,0.8671594982078853
ltla_timeseries,14,45,identity,46.241316555656894,19.64286220042265,16.863905857235274,6.73035016059829,0.5407386072708653,0.914810547875064,0.9660298259088582
ltla_timeseries,14,45,adjacency,46.18145709087315,19.401695708595845,16.99932864096346,6.77539751842731,0.5376984126984127,0.9156746031746031,0.9674059139784946
ltla_timeseries,14,45,uniform,46.21140647656042,19.577765664451054,16.893014065268286,6.736339372102818,0.5391865079365079,0.9150825652841782,0.966589861751152
ltla_timeseries,3,1000,raw,15.695608843996258,2.71648130101649,6.908498425064286,5.11279220932653,0.2318868407578085,0.7756656426011265,0.9000576036866359
ltla_timeseries,3,1000,identity,15.174880386151665,5.517067534393302,5.080712986268701,3.6193785293130554,0.5028321812596006,0.9131624423963134,0.9661578341013825
ltla_timeseries,3,1000,adjacency,15.124679785277172,5.370352819364615,5.141793950810976,3.6547706727943714,0.5007040450588838,0.9143145161290323,0.9676299283154122
