model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net-V3,state360,20,7,no_agam,1,True,20260205_001932,111.61972045898438,130.36691284179688,260.0090443138469,171.15708923339844,0.8413171172142029,0.6081376671791077,0.0034828518982976,0.6578118801116943,-1.9418991804122925,0.661676287651062,-0.9752729535102844,192.2863922119141
MSTAGAT-Net,state360,20,7,no_agam,5,False,20260127_055105,116.61678314208984,145.66412353515625,278.2192115715592,177.41212463378906,0.7882691621780396,0.5169699788093567,0.0043449285440146,0.6082019805908203,-1.9134862422943115,0.6088966131210327,-1.0205514430999756,215.8404235839844
EpiSIG-Net-V3,state360,20,7,no_mtfm,1,True,20260205_002135,111.61972045898438,130.36691284179688,260.0090443138469,171.15708923339844,0.8413171172142029,0.6081376671791077,0.0034828518982976,0.6578118801116943,-1.9418991804122925,0.661676287651062,-0.9752729535102844,192.2863922119141
MSTAGAT-Net,state360,20,7,no_mtfm,5,False,20260127_055242,99.06647491455078,110.7593765258789,219.6457819564264,148.53228759765625,0.8750313520431519,0.5993171334266663,0.0038289471995085,0.7558066844940186,-1.7316559553146362,0.7562307119369507,-0.8986930847167969,167.36480712890625
EpiSIG-Net-V3,state360,20,7,no_pprm,1,True,20260205_002339,111.61972045898438,130.36691284179688,260.0090443138469,171.15708923339844,0.8413171172142029,0.6081376671791077,0.0034828518982976,0.6578118801116943,-1.9418991804122925,0.661676287651062,-0.9752729535102844,192.2863922119141
MSTAGAT-Net,state360,20,7,no_pprm,5,False,20260127_055438,102.45789337158205,120.80052185058594,242.268994353384,156.97299194335938,0.8531662225723267,0.6275982856750488,0.0041390759870409,0.7029129862785339,-1.8024829626083367,0.7035372257232666,-0.8676178455352783,178.8836669921875
EpiSIG-Net-V3,state360,20,7,none,1,True,20260205_001728,111.61972045898438,130.36691284179688,260.0090443138469,171.15708923339844,0.8413171172142029,0.6081376671791077,0.0034828518982976,0.6578118801116943,-1.9418991804122925,0.661676287651062,-0.9752729535102844,192.2863922119141
MSTAGAT-Net,state360,20,7,none,5,False,20260127_054902,112.0304946899414,135.06332397460938,251.95624465122907,161.99380493164062,0.859151303768158,0.6183651685714722,0.0045615630224347,0.6786796450614929,-2.210368394851685,0.68813157081604,-1.0389914512634275,181.52197265625
EpiSIG-Net-V3,state360,20,10,none,1,True,20260204_204348,120.23128509521484,141.4550018310547,279.5914150595472,182.1684417724609,0.8191282749176025,0.5691779255867004,0.0049184146337211,0.6043276786804199,-2.573540210723877,0.6078992486000061,-1.2409722805023191,214.37852478027344
EpiSIG-Net-V3,state360,20,10,none,2,True,20260204_204542,115.89470672607422,128.37806701660156,263.0506278504197,175.40118408203125,0.816026508808136,0.4834093451499939,0.0052969036623835,0.6497592329978943,-2.3112378120422363,0.6500418186187744,-1.4294081926345823,206.6858367919922
EpiSIG-Net-V3,state360,20,10,none,3,True,20260204_204624,98.98207092285156,106.24388122558594,214.9242417399676,144.6282958984375,0.8753376007080078,0.6155397891998291,0.0053569786250591,0.7661923170089722,-0.9828476309776306,0.7662124633789062,-0.2082265019416809,162.63136291503906
EpiSIG-Net-V3,state360,20,10,none,4,True,20260204_204730,94.66936492919922,108.48323822021484,217.67921854761423,142.20285034179688,0.872180700302124,0.6571506857872009,0.0041354419663548,0.7601598501205444,-0.9494542479515076,0.7606579065322876,-0.2486894577741623,170.36036682128906
MSTAGAT-Net,state360,20,10,none,5,False,20260127_030145,121.90078735351562,143.92286682128906,289.2052552902523,184.72390747070312,0.7719881534576416,0.4693119525909424,0.004164233803749,0.5766491889953613,-3.039668798446656,0.5768687725067139,-1.9299235343933103,220.16197204589844
EpiSIG-Net-V3,state360,20,10,none,5,True,20260204_204843,107.68877410888672,126.19371795654295,245.88637492752625,159.71658325195312,0.8349753618240356,0.5187842845916748,0.0052035925909876,0.6939749717712402,-0.953724205493927,0.6940524578094482,-0.4143930673599243,190.6356201171875
EpiSIG-Net-V3,state360,20,10,none,6,True,20260204_204953,98.54769897460938,110.82484436035156,227.7096475640635,149.4557647705078,0.8594767451286316,0.6074375510215759,0.0049523315392434,0.7375473976135254,-0.9140572547912598,0.7376176118850708,-0.3031524419784546,175.7993621826172
EpiSIG-Net-V3,state360,20,10,none,7,True,20260204_205102,108.65155029296876,125.61605072021484,259.69069643038813,166.34031677246094,0.8137107491493225,0.5075079202651978,0.0053043561056256,0.6586493253707886,-1.2917118072509766,0.6614463925361633,-0.7459694147109985,200.1204528808593
EpiSIG-Net-V3,state360,20,10,none,8,True,20260204_205230,112.47832489013672,128.9420928955078,258.3585656360168,169.31796264648438,0.8264185190200806,0.526648759841919,0.0049478546716272,0.6621423959732056,-1.8377599716186523,0.6624994277954102,-0.9378090500831604,202.08872985839844
