model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
MSAGAT-Net,ltla_timeseries,20,7,none,30,True,20260811_091023,44.10436630249024,36.12591552734375,85.29660737959482,64.9822006225586,0.8485370874404907,0.7585071325302124,,0.6800591349601746,0.4714365303516388,0.7015221118927002,0.5592502355575562,49.14898300170898,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,7,none,30,True,20260814_032243,43.47170974850594,39.041135544415,88.2537436543033,64.5638233625225,0.8471897387113053,0.7967014566638859,,0.6574905900008143,0.4889606922293729,0.6827294434575899,0.5801004829157864,48.53321004164968,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,7,none,30,True,20260819_093736,43.05507954769695,36.4002915321548,85.00981491615154,64.03800905408852,0.8510420928060649,0.7759982111985557,,0.6822069646145313,0.4912740914587041,0.7029977701093602,0.5668510045170583,48.26360032785848,default
MSAGAT-Net.pprm-multistep,ltla_timeseries,20,7,none,42,True,20260811_030810,44.34349822998047,34.887569427490234,83.11137400068206,64.66975402832031,0.8449090123176575,0.7227756977081299,,0.6962424516677856,0.4679221212863922,0.708132266998291,0.515532910823822,49.64908599853516,default
MSAGAT-Net.sgate,ltla_timeseries,20,7,none,42,True,20260811_033058,43.98757553100586,34.886470794677734,83.09646773009518,64.31402587890625,0.8462765216827393,0.73153156042099,,0.6963513493537903,0.4736444354057312,0.7077201008796692,0.5230206847190857,49.185791015625,default
MSAGAT-Net.pprm-multistep.sgate,ltla_timeseries,20,7,none,42,True,20260811_035434,44.51103973388672,34.297325134277344,82.011884618938,63.90182876586914,0.8447977304458618,0.7266825437545776,,0.7042261362075806,0.4754018783569336,0.7098511457443237,0.518444299697876,49.38240051269531,default
MSAGAT-Net.loggrowth,ltla_timeseries,20,7,none,42,True,20260811_051554,42.23308181762695,34.16520309448242,81.96368944062212,62.49118041992188,0.853339433670044,0.7507102489471436,,0.7045736312866211,0.5135172605514526,0.7152765989303589,0.5546438694000244,46.91896438598633,default
MSAGAT-Net,ltla_timeseries,20,7,none,42,True,20260811_091012,44.56671142578125,34.7396354675293,83.0242193344433,64.46796417236328,0.8418258428573608,0.7219228148460388,,0.6968791484832764,0.4692114591598511,0.704115092754364,0.5129367709159851,49.43653106689453,default
MSAGAT-Net.loggrowth.quant,ltla_timeseries,20,7,none,42,True,20260814_032300,43.18025899766975,37.99720769267151,86.20581093189759,63.18913049796855,0.8475267241934679,0.7985570094582876,,0.673202054866491,0.5110799966472025,0.6936021414007898,0.5931183326868106,48.18428573274981,default
MSAGAT-Net.loggrowth.quant.exp-nodecay-regpre,ltla_timeseries,20,7,none,42,True,20260819_093453,42.77579914739177,36.68885579391137,85.03777906803158,63.19005473802584,0.8520642057835301,0.7885903413015334,,0.6819978528929194,0.5100129949296281,0.7033768238933121,0.5874239023557947,47.926477774954,default
